video_id,viewCount,likeCount,dislikeCount,comment,neg,neu,pos,compound
yEaYg69qxcQ,1014,15,0,Super 🎉 song 🎵👌👌,0.0,0.175,0.8250000000000001,0.9576
yEaYg69qxcQ,1014,15,0,🎉🎉🎉❤❤❤,0.0,0.225,0.775,0.967
yEaYg69qxcQ,1014,15,0,🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9349
yB2qzN-3ge8,166,7,0,,,,,
jsfyWn4VRWg,100,0,0,,,,,
CpEq2SygrCs,68,2,0,,,,,
EhUG0ti29jw,52,2,0,,,,,
_SaM4CFoYuU,501,14,0,💯👍👍👍,0.0,1.0,0.0,0.0
_SaM4CFoYuU,501,14,0,👌👌👌👌👍,0.0,0.075,0.925,0.9736
_SaM4CFoYuU,501,14,0,Super ❤❤❤✨👌👌👌,0.0,0.075,0.925,0.9892
_SaM4CFoYuU,501,14,0,👌👌👌🎉,0.0,0.045,0.955,0.9643
_SaM4CFoYuU,501,14,0,Your great akkaa,0.0,0.328,0.672,0.6249
jXL79MyjuSs,420,8,0,Super.. 😅❤❤❤❤,0.0,0.232,0.768,0.9756
jXL79MyjuSs,420,8,0,👍👍,0.0,1.0,0.0,0.0
jXL79MyjuSs,420,8,0,👌👌👌👌👌😋😋😋😋,0.0,0.281,0.719,0.9829
jXL79MyjuSs,420,8,0,😢😢😢😢😢😢😢,0.756,0.244,0.0,-0.967
jXL79MyjuSs,420,8,0,😋😋😋👍❤,0.0,0.741,0.259,0.6369
cFj18KZ3hWA,471,16,0,அருமை அருமை😂😂😂,0.203,0.391,0.406,0.8271000000000001
cFj18KZ3hWA,471,16,0,😆😆👌😋😋😋,0.0,0.539,0.461,0.8788
cFj18KZ3hWA,471,16,0,😂😂,0.218,0.345,0.437,0.7003
cFj18KZ3hWA,471,16,0,😋😋😋,0.0,1.0,0.0,0.0
F2-Ua8E1oPo,544,11,0,👌👌👌💕💕💕❤,0.0,0.101,0.899,0.9887
F2-Ua8E1oPo,544,11,0,அருமை 👌👌👌,0.0,0.052,0.948,0.9545
igTbACiueNQ,560,9,0,👍👍👍👌😋,0.0,0.595,0.405,0.7297
igTbACiueNQ,560,9,0,👌👌👌,0.0,0.0,1.0,0.9545
mR2jivnUHBg,444,13,0,😋😋😋😆👍,0.0,0.839,0.161,0.3612
mR2jivnUHBg,444,13,0,😋😋😋,0.0,1.0,0.0,0.0
IP-KnpQeyzw,110,11,0,👌👌👌👍❤❤❤🙏,0.0,0.184,0.8160000000000001,0.9849
IP-KnpQeyzw,110,11,0,💯👍👍👍,0.0,1.0,0.0,0.0
IP-KnpQeyzw,110,11,0,😔😔😔👌👌👌🎉,0.0,0.138,0.862,0.9682
IP-KnpQeyzw,110,11,0,கடினம் என்பது சிறிய கல் அதை எட்டி உதைத்து விட்டு செல்ல வேண்டும் சிஸ்டர்,0.0,1.0,0.0,0.0
IP-KnpQeyzw,110,11,0,My akka❤❤❤❤,0.0,0.263,0.737,0.9571
9gF3OSsZeAI,461,11,0,🥰🥰👌,0.0,0.224,0.776,0.9671
9gF3OSsZeAI,461,11,0,😂😂😂😝😝😝👌👌👌👍,0.097,0.393,0.509,0.9779
9gF3OSsZeAI,461,11,0,😋😋😋,0.0,1.0,0.0,0.0
9gF3OSsZeAI,461,11,0,Whatsapp number soniga yapati nu theryalla,0.0,0.794,0.206,0.0772
9WEfcG2i7v0,136,12,0,,,,,
9ShGty02yOc,70,7,0,,,,,
Tww8udy7tKU,452,14,0,👍👍👍👍,0.0,1.0,0.0,0.0
Tww8udy7tKU,452,14,0,🙏🙏,0.0,1.0,0.0,0.0
Tww8udy7tKU,452,14,0,நியூ பிரண்ட்ஸ் 👍,0.0,1.0,0.0,0.0
Tww8udy7tKU,452,14,0,டாப் டக்கர் 🎉,0.0,0.526,0.474,0.4019
Tww8udy7tKU,452,14,0,Super ❤,0.0,0.11,0.89,0.8442000000000001
Tww8udy7tKU,452,14,0,❤❤❤❤❤❤,0.0,0.192,0.808,0.9803
ml9rx4U14rQ,891,21,0,👍👍👍👌👌👌👌👌👌,0.0,0.14,0.86,0.988
ml9rx4U14rQ,891,21,0,👍👍👍,0.0,1.0,0.0,0.0
ml9rx4U14rQ,891,21,0,❤️❤️❤️❤️,0.0,1.0,0.0,0.0
ml9rx4U14rQ,891,21,0,Vanakkam 🙏,0.0,1.0,0.0,0.0
ml9rx4U14rQ,891,21,0,🎉,0.0,0.27,0.73,0.4019
P13KYPOtOjw,81,12,0,Sub done,0.0,1.0,0.0,0.0
IdwUwGUb5lc,140,11,0,Akka live podunga 😂😂😂😂😂😂😂😂,0.209,0.372,0.419,0.969
IdwUwGUb5lc,140,11,0,Ean akka live varala,0.0,1.0,0.0,0.0
5qWkKufgN64,163,16,0,♥️♥️♥️,0.0,0.192,0.808,0.9274
5qWkKufgN64,163,16,0,Super 🎉🎉🎉,0.0,0.2,0.8,0.9001
5qWkKufgN64,163,16,0,❤❤❤❤❤🎉🎉🎉🎉🎉🎉,0.0,0.228,0.772,0.9892
5qWkKufgN64,163,16,0,சூப்பர் அக்கா,0.0,1.0,0.0,0.0
5qWkKufgN64,163,16,0,👍👍👍🌹🌹🌹 சூப்பரான பாடல்🌹🌹🌹👍🌹👍,0.0,1.0,0.0,0.0
5qWkKufgN64,163,16,0,சூப்பர் 👍👍👍,0.0,1.0,0.0,0.0
5qWkKufgN64,163,16,0,Ahaha enna arputam nice song❤❤❤❤❤❤,0.0,0.263,0.737,0.9834
nn-MqLFyszA,455,15,0,👌👌👌👌👌👍👍,0.0,0.115,0.885,0.9829
nn-MqLFyszA,455,15,0,💯,0.0,1.0,0.0,0.0
nn-MqLFyszA,455,15,0,Super sister😊,0.0,0.288,0.712,0.872
7Jb1N0_AJu0,149,10,0,,,,,
af-Us-7vDJQ,7720,154,0,😮😮😮😮,0.0,1.0,0.0,0.0
af-Us-7vDJQ,7720,154,0,அருமை 👌👌👌,0.0,0.052,0.948,0.9545
af-Us-7vDJQ,7720,154,0,😂😂😂😂😂😂,0.218,0.345,0.437,0.9468
af-Us-7vDJQ,7720,154,0,😂😂😂😂,0.218,0.345,0.437,0.891
540wfhaZBFE,610,22,0,அருமை 🎉🎉🎉🎉🎉,0.0,0.308,0.6920000000000001,0.91
540wfhaZBFE,610,22,0,அருமை ❤❤❤,0.0,0.241,0.759,0.9274
540wfhaZBFE,610,22,0,Super songs,0.0,0.204,0.796,0.5994
540wfhaZBFE,610,22,0,🫣🫣,0.0,1.0,0.0,0.0
540wfhaZBFE,610,22,0,👀👀,0.0,1.0,0.0,0.0
fXAvT9-jUAY,74,5,0,,,,,
9yB3cKR6NE0,415,15,0,Enkkum settu neenga sappudunga sister❤,0.0,0.588,0.412,0.6369
9yB3cKR6NE0,415,15,0,😋😋😋,0.0,1.0,0.0,0.0
9yB3cKR6NE0,415,15,0,சூப்பர் சாப்பாடு,0.0,1.0,0.0,0.0
9yB3cKR6NE0,415,15,0,👌👌👌,0.0,0.0,1.0,0.9545
vLqAohHcUZQ,2550,25,0,Mm 🎉,0.0,0.426,0.5740000000000001,0.4019
vLqAohHcUZQ,2550,25,0,👍👍👍👍👍👍,0.0,1.0,0.0,0.0
UBi5S2fSNw0,177,7,0,,,,,
3j1g8EXb-a8,72,10,0,,,,,
I6vTDZCe28o,553,18,0,வாழ்க வளமுடன்,0.0,1.0,0.0,0.0
I6vTDZCe28o,553,18,0,❤❤❤❤❤नाईश❤❤❤❤❤❤,0.0,0.222,0.778,0.9928
I6vTDZCe28o,553,18,0,🎉🎉🎉🎉🎉🎉,0.0,0.27,0.73,0.9349
I6vTDZCe28o,553,18,0,Good,0.0,0.0,1.0,0.4404
I6vTDZCe28o,553,18,0,👌,0.0,0.0,1.0,0.7297
I6vTDZCe28o,553,18,0,❤❤❤yes,0.0,0.323,0.677,0.8555
I6vTDZCe28o,553,18,0,அருமை 👌👌👌,0.0,0.052,0.948,0.9545
25yXh7_2EOc,1016,19,0,👌👌,0.0,0.0,1.0,0.9055
25yXh7_2EOc,1016,19,0,சூப்பர் சூப்பர் 👍👍,0.0,1.0,0.0,0.0
25yXh7_2EOc,1016,19,0,🎉🎉,0.0,0.27,0.73,0.6597000000000001
25yXh7_2EOc,1016,19,0,சிஸ்டர் சூப்பர் 👌👌,0.0,0.14,0.86,0.9055
i0AufSGLSxo,22,1,0,@priyan  priyan priyan3006  ஓகேவ்,0.0,1.0,0.0,0.0
ivjLzCqIcNM,59,5,0,க்யூட்டா இருக்க பாப்பா,0.0,1.0,0.0,0.0
ivjLzCqIcNM,59,5,0,🎉🎉🎉,0.0,0.27,0.73,0.7964
ekiGn947x64,92,0,0,Super,0.0,0.0,1.0,0.5994
C7G4ubhuGUw,175,7,0,🙏🙏,0.0,1.0,0.0,0.0
C7G4ubhuGUw,175,7,0,🎉🎉🎉🎉,0.0,0.27,0.73,0.8689
MqMuZ0z9qw4,427,9,0,💃💃💃,0.0,1.0,0.0,0.0
MqMuZ0z9qw4,427,9,0,🎉🎉🎉😊,0.0,0.299,0.7010000000000001,0.9201
MqMuZ0z9qw4,427,9,0,🥰🥰,0.0,0.291,0.709,0.9393
MqMuZ0z9qw4,427,9,0,🎉,0.0,0.27,0.73,0.4019
fh9Lm3V9ZeQ,480,10,0,,,,,
Is3lgeNuFHU,72,3,0,சூப்பர் சிஸ் 🙏👍,0.0,1.0,0.0,0.0
jUFTu8afG8s,418,14,0,Good song,0.0,0.256,0.744,0.4404
jUFTu8afG8s,418,14,0,🦜🦜🦜🦜🦜🎉🎉🎉🎉,0.0,0.455,0.545,0.8689
jUFTu8afG8s,418,14,0,👍👌🙏காலை வணக்கம் 🙏,0.0,0.533,0.467,0.7297
