_id,video_id,viewCount,likeCount,dislikeCount
674b0f7f248c7e790a122fc0,fh9Lm3V9ZeQ,480,10,0
674b0f80248c7e790a122fc1,Is3lgeNuFHU,72,3,0
674b0f81248c7e790a122fc2,jUFTu8afG8s,418,14,0
674b0f81248c7e790a122fc3,jfLfVvEyRGQ,43,1,0
674b0f82248c7e790a122fc4,FtW5yPlK950,5,2,0
674b0f83248c7e790a122fc5,9jfsxvxkNl0,10,1,0
674b0f84248c7e790a122fc6,_l4p1fKxKgA,6,1,0
674b0f85248c7e790a122fc7,Zb1yOwLF8IU,110,2,0
674b0f87248c7e790a122fc8,pRWg7Oe-eI0,12,1,0
674b0f89248c7e790a122fc9,lN68U-eHZDI,131,7,0
674b0f8a248c7e790a122fca,D4H3HzQTBj0,134,9,0
674b0f8b248c7e790a122fcb,PAoBxuhNrwg,120,3,0
674b0f8c248c7e790a122fcc,jZBMx0M97yY,688,20,0
674b0f8d248c7e790a122fcd,45F1ZvoqyBQ,203,10,0
674b0f92248c7e790a122fce,d81lvbcu_lE,434,11,0
674b0f95248c7e790a122fcf,bAI4KHWRAps,1019,25,0
674b0f96248c7e790a122fd0,ao5p7qf0e_Y,105,7,0
674b0fa1248c7e790a122fd1,XzVh-UwOOg0,103,7,0
674b0fa3248c7e790a122fd2,Al7FnL9Ouh4,36,4,0
674b0fa7248c7e790a122fd3,a3x7M5PxvsM,451,13,0
674b0fa8248c7e790a122fd4,tLFaXZGPUxs,397,12,0
674b0fa9248c7e790a122fd5,JONkCXfJgI4,603,15,0
674b0faa248c7e790a122fd6,lRFTrINTLL0,496,21,0
674b0fab248c7e790a122fd7,pItHKEN5h5Q,159,16,0
674b0fac248c7e790a122fd8,4dWSQq6M__0,52,4,0
674b0fac248c7e790a122fd9,NAbV0yzPYo4,37,0,0
674b0fad248c7e790a122fda,PQqA2lViDD4,442,16,0
674b0fae248c7e790a122fdb,SF-q5HoGTjg,491,16,0
674b0faf248c7e790a122fdc,WSEoPfDY5dU,2094,31,0
674b0fb0248c7e790a122fdd,jn5QORD-SwU,691,13,0
674b0fb1248c7e790a122fde,K8PXvbRwj8w,407,26,0
674b0fb1248c7e790a122fdf,oV_fmDwXMJo,99,9,0
674b0fb2248c7e790a122fe0,pO2fFUew5_I,346,12,0
674b0fb3248c7e790a122fe1,lgpMbFzVt4Y,43,3,0
674b0fb4248c7e790a122fe2,lfmj8S0Qf0s,279,12,0
674b0fb5248c7e790a122fe3,2JfsPA6EZDA,396,15,0
674b0fb6248c7e790a122fe4,KWrU5XzfT-E,483,27,0
674b0fb7248c7e790a122fe5,-6KnAt26Wio,465,12,0
674b0fb8248c7e790a122fe6,56SyedzD90M,194,6,0
674b0fba248c7e790a122fe7,GBBRZDLLv7c,777,13,0
674b0fbb248c7e790a122fe8,_lYo8zJU8WQ,416,11,0
674b0fbb248c7e790a122fe9,WAswbETfRgw,34,2,0
674b0fbc248c7e790a122fea,YOOeU-1q12s,418,11,0
674b0fbd248c7e790a122feb,IRbcCz56dto,195,4,0
674b0fbe248c7e790a122fec,r1WfGdub548,199,5,0
674b0fbf248c7e790a122fed,yZMSnsIY0ak,78,7,0
674b0fc0248c7e790a122fee,vW7jgXnP6Wo,494,5,0
674b0fc0248c7e790a122fef,-iWfFPu2Dvs,40,2,0
674b0fc1248c7e790a122ff0,-uzCyFrz6-8,761,7,0
674b0fc2248c7e790a122ff1,PPCrpRC91_o,578,13,0
674b0fc3248c7e790a122ff2,hfUlPUMGwZ0,462,8,0
674b0fc4248c7e790a122ff3,Dxiyo7c8HLQ,453,14,0
674b0fc5248c7e790a122ff4,fq1zfPO5fzY,405,14,0
674b0fc6248c7e790a122ff5,CaSiP-K_Dzw,73,4,0
674b0fc7248c7e790a122ff6,iQspJ6WwCzk,306,7,0
674b0fc7248c7e790a122ff7,muWA3yfNEX0,433,11,0
674b0fc8248c7e790a122ff8,LcARSQ9VPhI,447,14,0
674b0fc9248c7e790a122ff9,8CEoXOLkZqA,270,6,0
674b0fca248c7e790a122ffa,wQLwFf7-Bzk,663,31,0
674b0fcb248c7e790a122ffb,nRvGB86TkTU,644,5,0
674b0fcc248c7e790a122ffc,XWHQW1oFzIA,2242,20,0
674b0fcd248c7e790a122ffd,6StITIIWawk,97,5,0
674b0fce248c7e790a122ffe,B9HRls2ZlLQ,57,3,0
674b0fcf248c7e790a122fff,D8DRol1uDQk,201,5,0
674b0fd0248c7e790a123000,DcFc_VOjBeI,137,6,0
674b0fd1248c7e790a123001,coBkfTDjWIA,1255,20,0
674b0fd2248c7e790a123002,LiopdSJ8Abo,56,2,0
674b0fd2248c7e790a123003,0zl_mRcZ54A,857,9,0
674b0fd4248c7e790a123004,nqFzglviHPs,712,26,0
674b0fd7248c7e790a123005,n93lhRqbV5Y,48,4,0
674b0fda248c7e790a123006,Eo0sKGPyBU0,45,3,0
674b0fdb248c7e790a123007,O6BFD53dLh8,93,2,0
674b0fde248c7e790a123008,VrWCzAcjEmw,166,4,0
674b0fdf248c7e790a123009,1VdJIcergnE,413,8,0
674b0fe0248c7e790a12300a,o9DXWg8mQYY,1845,61,0
674b0fe3248c7e790a12300b,pzqc-7L3GQs,484,13,0
674b0fe7248c7e790a12300c,qvGZJKBIe9M,2329,55,0
674b0fe9248c7e790a12300d,ll9wEEZT3jo,125,6,0
674b0fed248c7e790a12300e,IuLb0Ag5Dxs,461,16,0
674b0fee248c7e790a12300f,ZiriRqECMD8,424,8,0
674b0ff2248c7e790a123010,5BFtRqp-Zd0,275,11,0
674b0ff5248c7e790a123011,k3ba2QKRY4E,287,7,0
674b0ff8248c7e790a123012,MyBaH_Kev3M,259,3,0
674b0ffb248c7e790a123013,Sxvv75p75oE,215,2,0
674b0ffd248c7e790a123014,UG4i-1cpVIc,52,5,0
674b0fff248c7e790a123015,PIBCpAjJojA,54,3,0
674b1001248c7e790a123016,3l9Lg-qWExg,120,1,0
674b1004248c7e790a123017,3N9hxrNL4w8,147,6,0
674b1007248c7e790a123018,quz5rZ-9Iu4,114,6,0
674b100a248c7e790a123019,lZUzh4tj6o0,82,2,0
674b100e248c7e790a12301a,OKqhnfWgzAM,56,2,0
674b100f248c7e790a12301b,YqZ4hHyGbMQ,506,16,0
674b1010248c7e790a12301c,pwPU864m4qU,630,16,0
674b1012248c7e790a12301d,CrgkvL7ltgM,63,2,0
674b1015248c7e790a12301e,ufXDLpbh2Kg,436,26,0
674b1017248c7e790a12301f,ZY9bvRK_8Mo,422,10,0
674b1019248c7e790a123020,DuBNuJ643fQ,480,19,0
674b101a248c7e790a123021,i1b-jHYfR60,263,5,0
674b101b248c7e790a123022,GUapnvjMkXc,608,6,0
674b101e248c7e790a123023,QIo7Z4wiXeQ,156,8,0
674b1022248c7e790a123024,cfzkaYY1UbU,55,1,0
674b1024248c7e790a123025,4xZtL7V0AwY,213,5,0
674b1026248c7e790a123026,wpDQ8H8ZjO0,645,17,0
674b1027248c7e790a123027,7L6ovC0dRe4,1114,21,0
674b1028248c7e790a123028,aQ4V8rL0tvE,575,9,0
674b102c248c7e790a123029,jVz_gvl99kM,328,3,0
674b102e248c7e790a12302a,Gtn46uWl1PI,409,9,0
674b102f248c7e790a12302b,WflITPFogwk,479,19,0
674b1031248c7e790a12302c,J_7ZexHkTHc,109,5,0
674b1031248c7e790a12302d,4NactugP-n0,436,12,0
674b1033248c7e790a12302e,mgynMTMhRDE,8967,189,0
674b1034248c7e790a12302f,kABlFp4udI0,368,10,0
674b1035248c7e790a123030,Vkl2JvBe2fI,99,1,0
674b1036248c7e790a123031,emot3XPti34,571,8,0
674b1038248c7e790a123032,ihHMH9ArFo8,295,6,0
674b1039248c7e790a123033,GSnuby3kZ90,140,0,0
674b103a248c7e790a123034,hJqSfXMZKKg,714,7,0
674b103c248c7e790a123035,x2XWfmnOLPY,1936,8,0
674b1040248c7e790a123036,_nsU7JZ2if4,2088,21,0
674b1042248c7e790a123037,eoPkxYVHgFg,467,6,0
674b1043248c7e790a123038,17hHHuewMZM,565,9,0
674b1044248c7e790a123039,H6nONDN5z6Y,1220,43,0
674b1045248c7e790a12303a,FxHCpIsnCuc,386,3,0
674b1046248c7e790a12303b,kcY-VXnNYtU,112,5,0
674b1047248c7e790a12303c,6-HldIfBv2s,157,4,0
674b1048248c7e790a12303d,U0FJ9MJQxMQ,843,13,0
674b1049248c7e790a12303e,w_nMrNzXpmI,53,3,0
674b104b248c7e790a12303f,c7x7mfQyMOs,133,2,0
674b104d248c7e790a123040,ZtSsSE2cbB0,499,9,0
674b104e248c7e790a123041,lTdKU4KaBJw,1939,18,0
674b104f248c7e790a123042,O1BJKWlnTyU,448,12,0
674b1050248c7e790a123043,lSMGl6ggEAw,484,11,0
674b1052248c7e790a123044,bIn2yLLRS5A,366,13,0
674b1055248c7e790a123045,HFBlK7S7H2Y,160,7,0
